Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,PR Freq,Tx Power,Skip,Step,Clock Shift,Comment
25,145.71000,145.71000,,Simplex,FM,EAST 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC EAST Winlink VARA Packet / Tertiary analog...
26,440.27500,445.27500,5.00 MHz,Plus,FM,EVENT1,T Sql,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES RPTR Portable UHF--HOW Trailer (KD7ZDO)
27,144.65000,145.25000,600 kHz,Plus,FM,EVENT2,T Sql,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES Portable Event Repeater VHF (ORRC Tes...
28,440.22500,445.22500,5.00 MHz,Plus,FM,EVENT3,T Sql,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC ARES Portable Event Repeater UHF on HOW Tr...
29,440.57500,445.57500,5.00 MHz,Plus,FM,LO 1,T Sql,82.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC LO-1--RPTR Lake Oswego ARES Primary  (Echo...
30,146.50000,146.50000,,Simplex,FM,LO 2,T Sql,82.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC LO-2--SIMP Lake Oswego ARES Simplex Second...
31,145.53000,145.53000,,Simplex,FM,LO 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC LO-3--Winlink VARA-FM Packet Post Office W...
32,431.90000,431.90000,,Simplex,FM,LO 4,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC LO-4--SIMP- Lake Oswego Logistics
33,147.46000,147.46000,,Simplex,FM,LO 5,None,,,1500 Hz,High,Off,5.00 kHz,Off,LO LDS Stake Comm Primary
34,432.62500,432.62500,,Simplex,FM,LO 6,None,,,1500 Hz,High,Off,5.00 kHz,Off,LO LDS Stake Comm Secondary
35,147.50000,147.50000,,Simplex,FM,NOCO 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC NORT SIMP Clackamas North County ARES Simp...
36,145.67000,145.67000,,Simplex,FM,NOCO 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC NORT Winlink VARA Packet / Tertiary analog...
37,442.07500,447.07500,5.00 MHz,Plus,FM,OC 1,Tone,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC OC-- RPTR Oregon City ARES Repeater (W7ZRS)
38,146.56000,146.56000,,Simplex,FM,OC 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC OC-- SIMP Oregon City ARES Simplex
39,145.63000,145.63000,,Simplex,FM,OC 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC OC--Winlink VARA Packet / Tertiary analog ...
40,431.92500,431.92500,,Simplex,FM,OC 4,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC OC-- SIMP-Logistics
41,145.43000,144.83000,600 kHz,Minus,FM,SAND 1,Tone,107.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC SOUTH RPTR-- Sandy Repeater (KJ7IY)
42,145.81000,145.81000,,Simplex,FM,SAND 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC SOUTH SIMP-Sandy Simplex
43,440.70000,445.70000,5.00 MHz,Plus,FM,MOLA 1,T Sql,77.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC CERT RPTR-Molalla Fire CERT (W7DTV)
44,146.58000,146.58000,,Simplex,FM,SOCO 2,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC SOUTH SIMP-Clackamas South County ARES Sim...
45,145.69000,145.69000,,Simplex,FM,SOCO 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC SOUTH--Winlink VARA Packet / Tertiary anal...
46,145.55000,145.55000,,Simplex,FM,WEST 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST SIMP-Clackamas West County ARES Simplex
47,146.92000,146.32000,600 kHz,Minus,FM,WEST 2,T Sql,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST RPTR--Newberg (AH6LE)
48,145.73000,145.73000,,Simplex,FM,WEST 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST--Winlink VARA Packet / Tertiary analo...
49,146.46000,146.46000,,Simplex,FM,WILS 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST SIMP Wilsonville
50,441.87500,446.87500,5.00 MHz,Plus,FM,WILS 2,T Sql,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC SOUTH RPTR--Wilsonville Parrett Mt. (AH6LE)
51,431.92500,431.92500,,Simplex,FM,WILS 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WILS 3--SIMP-Wilsonville Logistics
52,146.44000,146.44000,,Simplex,FM,WLIN 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST LINN SIMP-West Linn Simplex
53,441.67500,446.67500,5.00 MHz,Plus,FM,WLIN 2,Tone,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CLAC WEST Linn RPTR-West Linn--Suncrest Drive (...
54,144.39000,144.39000,,Simplex,FM,APRS,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,IARU Region 2 APRS Frequency
55,147.32000,147.92000,600 kHz,Plus,FM,D1-1,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,D-1 Primary Net RPTR  [OEM Monitored]--Forest G...
56,146.84000,146.24000,600 kHz,Minus,FM,D1-2,None,,,1500 Hz,High,Off,5.00 kHz,Off,D-1 Secondary / Multnomah Co. ARES Primary RPRT...
57,146.78000,146.18000,600 kHz,Minus,FM,D4-1,Tone,156.7 Hz,,1500 Hz,High,Off,5.00 kHz,Off,D-4 Primary Net RPTR Corvallis (K7CVO)
58,440.47500,445.47500,5.00 MHz,Plus,FM,HRT 1,Tone,123.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,HEART Net-Primary RPTR--Portland (K0HSU)
59,442.70000,447.70000,5.00 MHz,Plus,FM,HRT 2,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,HEART Net Secondary RPTR
60,145.52000,145.52000,,Simplex,FM,INTEL1,None,,,1500 Hz,High,Off,5.00 kHz,Off,Intel Emergency Amateur Radio Service SIMP (IEA...
61,146.70000,146.10000,600 kHz,Minus,FM,LDS 1,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,CARS LDS RPTR Regional Emergency Network--Portl...
62,446.00000,446.00000,,Simplex,FM,NUCALL,None,,,1500 Hz,High,Off,5.00 kHz,Off,National UHF Calling SIMP Frequency
63,146.52000,146.52000,,Simplex,FM,NVCALL,None,,,1500 Hz,High,Off,5.00 kHz,Off,National VHF Calling SIMP Frequency
64,146.98000,146.38000,600 kHz,Minus,FM,RED C1,DCS,,,1500 Hz,High,Off,5.00 kHz,Off,Red Cross RPTR--Portland (W7NK)
65,147.42000,147.42000,,Simplex,FM,RED CR,None,,,1500 Hz,High,Off,5.00 kHz,Off,Red Cross SIMP
66,145.33000,144.73000,600 kHz,Minus,FM,OEM 1,Tone,186.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,OEM RPTR--Oregon Emergency Management--Salem (W...
67,147.02000,147.62000,600 kHz,Plus,FM,OEM 2,Tone,186.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,OEM RPTR--Oregon Emergency Management--Falls Ci...
68,144.99000,144.99000,,Simplex,FM,OEM 3,None,,,1500 Hz,High,Off,5.00 kHz,Off,RMS Winlink VARA FM Packet W7ODN-10 / OEM EOC: ...
69,146.46000,146.46000,,Simplex,FM,PROV 1,None,,,1500 Hz,High,Off,5.00 kHz,Off,Providence Hospital SIMP Channel
70,443.22500,448.22500,5.00 MHz,Plus,FM,PROV 2,Tone,107.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Providence Portland Medical Center RPTR--Portla...
71,444.85000,449.85000,5.00 MHz,Plus,FM,PROV 3,Tone,123.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Providence St. Vincent Medical Center RPTR--Por...
72,146.86000,146.26000,600 kHz,Minus,FM,W7SRA,Tone,186.2 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Salem RPTR--Prospect Hill (W7SRA)
73,446.42500,446.42500,,Simplex,FM,XBAND1,Tone,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Crossband RPTR UHF side 1 (VHF side determined ...
74,446.45000,446.45000,,Simplex,FM,XBAND2,Tone,103.5 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Crossband RPTR UHF side 2 (VHF side determined ...
75,147.12000,147.72000,600 kHz,Plus,FM,GREEN,Tone,100.0 Hz,,1500 Hz,High,Off,5.00 kHz,Off,Version Control Channel--Green 2025-05-20
